Ticker,Company,Tweet,RoundDate,RoundTime,ID,Open,Close,PctChange
WHR,whirlpool,rt @whitehouse: live: president @realdonaldtrump delivers remarks at whirlpool corporation manufacturing plant https://t.co/2vc0eyoqok,8/6/20,9:30,1291460000000000000,173.0599976,169.6346436,-1.98%
WFC,wells fargo,"“if the fed backs off and starts talking a little more dovish, i think we’re going to be right back to our 2,800 to 2,900 target range that we’ve had for the s&amp,p 500.” scott wren, wells fargo.",10/30/18,12:53,1057250000000000000,52.45000076,48.30751038,-7.90%
WFC,wells fargo,"fines and penalties against wells fargo bank for their bad acts against their customers and others will not be dropped, as has incorrectly been reported, but will be pursued and, if anything, substantially increased. i will cut regs but make penalties severe when caught cheating!",12/8/17,15:18,939152000000000000,59.31000137,53.26081085,-10.20%
WMT,walmart,rt @ivankatrump: thank you @walmartinc for taking extraordinary measures to support american workers. you are a shining example of american…,3/23/20,12:46,1242070000000000000,114.1699982,113.313652,-0.75%
WMT,walmart,walmart announces great numbers. no impact from tariffs (which are contributing $billions to our treasury). inflation low (do you hear that powell?)!,11/14/19,14:32,1194990000000000000,124.5999985,118.5709457,-4.84%
WMT,walmart,"walmart, a great indicator as to how the u.s. is doing, just released outstanding numbers. our country, unlike others, is doing great! don’t let the fake news convince you otherwise.",8/15/19,9:30,1162100000000000000,112.5299988,110.7481232,-1.58%
UNH,unitedhealth,"rt @seemacms: thanks, @unitedhealthgrp, for helping ensure your communities have coverage for the #covid19 testing and treatment they need.",3/12/20,13:51,1238100000000000000,260,247.2419739,-4.91%
UDR,udr,rt @michaelcoudrey: good morning to everyone except judge sullivan and the corrupt fbi agents that tried to prosecute general flynn under f…,9/25/20,14:11,1309500000000000000,31.77000046,32.07862854,0.97%
UDR,udr,rt @michaelcoudrey: new data: a french study has demonstrated evidence that the combination of hydroxychloroquine &amp; azithromycin are highly…,3/23/20,9:30,1241400000000000000,31.95999908,29.14339066,-8.81%
UDR,udr,"rt @michaelcoudrey: everyone who thinks coronavirus is harmless or doesn’t matter should rethink that opinion immediately.

this is an extr…",3/23/20,9:30,1241400000000000000,31.95999908,29.14339066,-8.81%
